id_author_1,id_author_2,CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
1828979,1831603,3,2.164042561,0.6,16,0.75,1,0,1
1828979,1838281,2,0.781352786,0.153846154,54,0.154761905,0.5,0,0
1828979,1854206,3,2.164042561,0.6,16,0.75,1,4,1
1828979,1855047,2,0.781352786,0.153846154,54,0.154761905,0.5,4,0
1829047,1856189,1,0.558110627,0.2,5,0.166666667,0.5,4,0
1829091,1837212,1,0.339623272,0.055555556,88,0.052631579,0.5,0,0
1829091,1844626,1,0.369269373,0.071428571,44,0.066666667,0.5,0,0
1829091,1863075,1,0.339623272,0.05,110,0.052631579,0.5,0,0
1829092,1829783,1,1.442695041,0.333333333,4,0.5,1,2,1
1829093,1831718,1,0.369269373,0.058823529,80,0.066666667,0.5,1,0
1829093,1836770,1,0.369269373,0.071428571,50,0.066666667,0.5,0,0
1829093,1859353,2,0.738538746,0.111111111,100,0.133333333,0.5,4,0
1829127,1837385,2,1.468349853,0.5,9,0.5,1,3,1
1829127,1837635,2,0.992405108,0.4,10,0.266666667,0.5,3,0
1829127,1837811,1,0.434294482,0.142857143,15,0.1,0.5,2,0
1829127,1848262,3,1.506303451,0.5,20,0.40952381,0.5,4,0
1829127,1855658,1,0.434294482,0.2,5,0.1,0.5,2,0
1829133,1829408,3,2.164042561,0.6,16,0.75,1,7,1
1829133,1868491,3,1.475695036,0.428571429,24,0.392857143,0.5,8,0
1829134,1831297,4,2.485339738,0.666666667,25,0.8,1,0,1
1829134,1848684,4,2.485339738,0.666666667,25,0.8,1,2,1
1829152,1830931,1,0.378923182,0.076923077,45,0.071428571,0.5,0,0
1829167,1840945,2,0.824165727,0.222222222,24,0.176923077,0.5,0,0
1829167,1865980,2,0.824165727,0.166666667,33,0.176923077,0.5,0,0
1829167,1868402,1,0.389871245,0.166666667,12,0.076923077,0.5,0,0
1829181,1863649,4,2.078017947,0.8,20,0.583333333,0.5,5,0
1829181,1868491,3,1.475695036,0.5,20,0.392857143,0.5,4,0
1829186,1832698,1,0.36067376,0.090909091,20,0.0625,0.5,4,0
1829186,1839330,1,0.36067376,0.083333333,30,0.0625,0.5,2,0
1829186,1848676,1,0.36067376,0.1,10,0.0625,0.5,4,0
1829186,1861432,1,0.36067376,0.083333333,30,0.0625,0.5,4,0
1829202,1836407,1,0.31465798,0.083333333,40,0.041666667,0.5,2,0
1829202,1842896,2,0.704529226,0.166666667,45,0.118589744,0.5,0,0
1829202,1845992,1,0.31465798,0.083333333,40,0.041666667,0.5,4,0
1829202,1847774,1,0.31465798,0.111111111,25,0.041666667,0.5,2,0
1829202,1850106,1,0.31465798,0.111111111,25,0.041666667,0.5,0,0
1829202,1851508,1,0.31465798,0.066666667,55,0.041666667,0.5,4,0
1829202,1851519,1,0.31465798,0.066666667,55,0.041666667,0.5,0,0
1829202,1852581,2,0.704529226,0.133333333,60,0.118589744,0.5,0,0
1829211,1829333,1,0.513898342,0.125,14,0.142857143,0.5,2,0
1829211,1832385,0,0,0,4,0,0,1,1
1829211,1837455,1,0.558110627,0.142857143,7,0.166666667,0.5,2,0
1829211,1845231,0,0,0,2,0,0,1,1
1829211,1849741,0,0,0,10,0,0,1,1
1829211,1850265,2,0.910239227,0.2,35,0.222222222,0.5,3,0
1829226,1833238,1,0.417032391,0.1,30,0.090909091,0.5,4,0
1829226,1863431,1,0.417032391,0.041666667,114,0.090909091,0.5,4,0
1829240,1856599,2,0.72134752,0.133333333,60,0.125,0.5,5,0
1829240,1864942,1,0.31465798,0.052631579,96,0.041666667,0.5,3,0
1829256,1860910,1,0.480898347,0.142857143,12,0.125,0.5,1,0
1829313,1831853,1,0.480898347,0.25,6,0.125,0.5,2,0
1829313,1855399,1,0.480898347,0.333333333,4,0.125,0.5,4,0
1829313,1865141,1,0.480898347,0.25,6,0.125,0.5,4,0
1829313,1870088,1,0.480898347,0.333333333,4,0.125,0.5,2,0
1829321,1833903,1,0.369269373,0.066666667,64,0.066666667,0.5,0,0
1829321,1834759,0,0,0,8,0,0,2,1
1829330,1829967,1,0.402429604,0.025,364,0.083333333,0.5,3,0
1829330,1831681,1,0.402429604,0.055555556,78,0.083333333,0.5,3,0
1829330,1833843,1,0.352956124,0.045454545,130,0.058823529,0.5,1,0
1829330,1837112,1,0.352956124,0.027027027,325,0.058823529,0.5,0,0
1829330,1839325,1,0.352956124,0.034482759,221,0.058823529,0.5,0,0
